customer_id,product_id,product_title,review_headline,review_body,star_rating,helpful_votes,total_votes,verified_purchase,review_date
CUST00169,PROD9,Phone Case,"Great quality, fast shipping.","Works well, very satisfied. Not as described, disappointed.",5,50,4,Y,2023-07-24
CUST00172,PROD6,Keyboard,Good value for money.,"Decent, but could be better. Decent, but could be better.",4,8,93,Y,2023-02-27
CUST00125,PROD6,Mouse,"Works well, very satisfied.","Waste of money, poor quality. Not as described, disappointed.",4,22,58,Y,2022-11-27
CUST00078,PROD7,Mouse,Perfect! Will buy again.,"Works well, very satisfied. Amazing product! Highly recommend!",3,48,10,Y,2022-10-02
CUST00108,PROD6,Screen Protector,Good value for money.,"Broke after one week. Decent, but could be better.",4,6,7,N,2022-04-16
CUST00014,PROD10,Keyboard,"Not as described, disappointed.",Broke after one week. Good value for money.,1,46,25,Y,2022-10-06
CUST00126,PROD5,Laptop Stand,Broke after one week.,"Good value for money. Decent, but could be better.",5,8,68,N,2022-08-02
CUST00139,PROD1,Power Bank,Exactly what I needed!,"Perfect! Will buy again. Not as described, disappointed.",3,11,79,N,2023-12-25
CUST00085,PROD8,Power Bank,"Decent, but could be better.","Great quality, fast shipping. Amazing product! Highly recommend!",5,11,79,Y,2022-02-16
CUST00171,PROD4,Mouse,"Great quality, fast shipping.","Amazing product! Highly recommend! Decent, but could be better.",3,34,37,N,2022-05-13
CUST00131,PROD1,USB Cable,Amazing product! Highly recommend!,"Broke after one week. Waste of money, poor quality.",5,9,12,Y,2023-12-31
CUST00059,PROD2,Wireless Earbuds,Amazing product! Highly recommend!,"Great quality, fast shipping. Exactly what I needed!",4,44,68,Y,2022-10-25
CUST00103,PROD5,Phone Case,Exactly what I needed!,"Exactly what I needed! Works well, very satisfied.",5,14,32,N,2023-01-23
CUST00013,PROD3,Keyboard,"Works well, very satisfied.",Amazing product! Highly recommend! Exactly what I needed!,4,21,16,N,2023-09-11
CUST00007,PROD6,Monitor Arm,"Waste of money, poor quality.","Great quality, fast shipping. Amazing product! Highly recommend!",4,29,82,N,2022-07-16
CUST00054,PROD1,Power Bank,"Works well, very satisfied.","Decent, but could be better. Great quality, fast shipping.",4,32,93,Y,2022-03-29
CUST00002,PROD10,Webcam,Exactly what I needed!,"Great quality, fast shipping. Good value for money.",2,7,86,N,2022-03-05
CUST00077,PROD8,Monitor Arm,Exactly what I needed!,"Great quality, fast shipping. Decent, but could be better.",4,21,64,N,2023-07-26
CUST00089,PROD7,Keyboard,Exactly what I needed!,"Amazing product! Highly recommend! Works well, very satisfied.",4,45,36,N,2022-10-29
CUST00064,PROD6,Screen Protector,Perfect! Will buy again.,"Works well, very satisfied. Waste of money, poor quality.",4,49,8,Y,2023-04-21
CUST00120,PROD5,Phone Case,"Decent, but could be better.",Good value for money. Perfect! Will buy again.,5,2,73,N,2023-04-09
CUST00172,PROD9,Screen Protector,"Works well, very satisfied.",Amazing product! Highly recommend! Broke after one week.,3,34,43,Y,2023-06-13
CUST00172,PROD10,Laptop Stand,Good value for money.,Good value for money. Good value for money.,3,17,46,N,2022-12-21
